"","Saanich_010","Saanich_100","Saanich_120","Saanich_135","Saanich_150","Saanich_165","Saanich_200"
"Otu0001",462,11444,40906,52809,83079,95560,15262
"Otu0002",2,2,37,4,12,9,77958
"Otu0003",5317,32026,13932,3764,860,342,92
"Otu0004",41,1367,5606,7235,10392,20491,530
"Otu0005",169,4884,8947,11042,9431,6933,141
"Otu0006",2,12,86,264,159,217,33892
"Otu0007",22219,3531,1613,1081,303,250,146
"Otu0008",24197,1344,751,949,400,58,66
"Otu0009",61,1669,3594,2662,4313,11878,119
"Otu0010",534,8705,5544,2009,722,296,29
"Otu0011",359,6122,5569,3234,1764,696,29
"Otu0012",60,1631,3381,2146,1711,6080,636
"Otu0013",81,2321,3622,4115,3511,454,14
"Otu0014",59,4,115,163,240,11882,3
"Otu0015",59,2030,3087,3664,3058,356,119
"Otu0016",172,3823,3590,1975,983,423,2
"Otu0017",180,3288,3467,1769,994,361,146
"Otu0018",210,4481,2625,952,427,813,66
"Otu0019",7106,901,574,505,185,41,26
"Otu0020",6481,1262,626,497,104,79,29
"Otu0021",2,4,117,1310,4138,2124,1202
"Otu0022",1238,3430,2057,1372,688,69,11
"Otu0023",2,195,633,549,752,6096,18
"Otu0024",7468,107,72,102,46,16,6
"Otu0025",4,2,2,13,17,36,7684
"Otu0026",6658,394,235,208,47,20,15
"Otu0027",6802,206,146,246,53,9,4
"Otu0028",5064,946,497,326,151,43,12
"Otu0029",83,2312,2477,1002,507,567,74
"Otu0030",169,2724,2104,1038,396,112,92
"Otu0031",3,105,663,692,731,3482,845
"Otu0032",2669,1404,1031,610,422,364,9
"Otu0033",661,3157,1720,564,112,61,4
"Otu0034",1,168,720,943,1653,2585,190
"Otu0035",55,1993,2100,1027,478,241,146
"Otu0036",2,6,2,2,5,2,5879
"Otu0037",2699,2284,505,152,13,22,4
"Otu0038",4012,530,280,326,112,29,2
"Otu0039",1687,1728,686,493,190,223,10
"Otu0040",91,2340,1279,758,261,71,12
"Otu0041",150,2944,1349,225,48,61,29
"Otu0042",468,1908,1247,531,217,143,9
"Otu0043",216,1802,1205,1009,245,21,141
"Otu0044",2,4,2,11,2,29,4445
"Otu0045",17,808,1111,782,884,735,42
"Otu0046",11,2,2,6,4,2,4135
"Otu0047",3707,57,45,79,26,8,6
"Otu0048",593,6,34,102,200,3528,32
"Otu0049",78,1630,1229,618,208,75,66
"Otu0050",173,2335,996,233,27,12,66
"Otu0051",1,2,8,3,6,34,3588
"Otu0052",2042,637,380,366,135,12,25
"Otu0053",83,1818,1122,302,171,23,4
"Otu0054",111,1939,995,267,68,17,6
"Otu0055",6,12,14,37,23,17,3283
"Otu0056",2737,265,148,144,41,5,6
"Otu0057",593,1190,697,544,211,31,2
"Otu0058",2,6,3,9,6,6,3219
"Otu0059",4,2,6,2,7,20,3165
"Otu0060",123,1313,905,644,165,20,6
"Otu0061",93,1651,825,252,73,18,92
"Otu0062",226,541,1126,600,386,12,29
"Otu0063",872,1088,581,138,53,10,4
"Otu0064",2485,59,32,56,20,5,29
"Otu0065",2128,118,56,63,10,17,18
"Otu0066",2,64,370,583,1105,228,2
"Otu0067",2182,54,22,50,7,4,9
"Otu0068",7,379,690,344,231,619,6
"Otu0069",1033,582,318,168,44,40,13
"Otu0070",6,185,436,358,204,832,116
"Otu0071",5,2,2,2,2,16,2064
"Otu0072",63,1277,566,115,13,21,74
"Otu0073",5,3,2,2,2,2,2028
"Otu0074",1,238,268,159,189,792,211
"Otu0075",721,535,255,175,64,84,5
"Otu0076",734,600,290,144,43,21,7
"Otu0077",11,50,196,139,296,1048,4
"Otu0078",181,824,430,192,56,9,4
"Otu0079",82,918,492,145,36,5,2
"Otu0080",121,654,465,269,67,12,9
"Otu0081",14,2,2,2,7,2,1580
"Otu0082",1271,93,69,25,15,4,6
"Otu0083",16,606,432,271,106,6,2
"Otu0084",344,593,286,166,20,12,2
"Otu0085",120,6,2,2,1268,356,2
"Otu0086",2,2,27,45,72,1216,14
"Otu0087",6,8,6,2,8,13,1373
"Otu0088",1053,116,73,75,32,2,3
"Otu0089",13,785,394,120,15,6,2
"Otu0090",11,441,345,107,52,309,18
"Otu0091",781,320,95,37,13,6,5
"Otu0092",163,571,390,98,23,8,146
"Otu0093",12,385,378,104,83,281,6
"Otu0094",24,600,293,200,33,71,18
"Otu0095",4,704,335,79,1,6,3
"Otu0096",367,369,203,135,38,2,9
"Otu0097",6,368,306,210,95,46,31
"Otu0098",19,327,235,73,40,361,2
"Otu0099",809,82,57,45,13,8,6
"Otu0100",63,509,262,95,39,26,2
"Otu0101",214,318,160,222,65,2,2
"Otu0102",2,295,246,110,66,246,8
"Otu0103",11,529,245,83,33,64,9
"Otu0104",7,478,288,64,31,65,9
"Otu0105",2,2,2,7,2,4,930
"Otu0106",581,182,95,48,10,12,3
"Otu0107",887,8,5,16,2,4,2
"Otu0108",2,26,105,182,225,292,91
"Otu0109",5,4,6,6,2,2,879
"Otu0110",675,95,45,24,23,10,8
"Otu0111",831,6,4,9,4,18,28
"Otu0112",742,34,15,29,2,2,91
"Otu0113",723,28,8,15,7,2,5
"Otu0114",701,21,28,30,3,36,2
"Otu0115",10,530,204,23,2,9,6
"Otu0116",741,2,2,8,7,2,58
"Otu0117",45,436,163,75,13,6,2
"Otu0118",14,288,250,131,55,2,6
"Otu0119",95,260,263,91,21,8,146
"Otu0120",2,2,22,2,2,8,736
"Otu0121",49,22,92,79,84,448,7
"Otu0122",266,308,86,54,6,2,2
"Otu0123",83,153,338,155,59,7,29
"Otu0124",65,226,305,139,41,15,74
"Otu0125",12,268,274,112,32,2,6
"Otu0126",487,97,55,34,4,3,2
"Otu0127",656,12,2,9,44,277,2
"Otu0128",637,9,12,11,7,2,3
"Otu0129",392,221,40,8,2,84,2
"Otu0130",84,210,245,84,18,7,3
"Otu0131",2,242,269,95,33,6,74
"Otu0132",5,326,229,61,14,8,636
"Otu0133",8,2,4,2,8,6,634
"Otu0134",621,4,2,4,65,15,2
"Otu0135",2,2,10,2,4,2,605
"Otu0136",290,150,89,53,18,3,4
"Otu0137",4,180,225,95,42,25,22
"Otu0138",12,41,92,87,157,146,58
"Otu0139",527,3,9,10,7,4,2
"Otu0140",92,246,109,85,7,4,29
"Otu0141",379,90,39,24,6,2,85
"Otu0142",1,18,100,161,248,4,2
"Otu0143",8,295,145,45,14,23,12
"Otu0144",2,203,209,67,22,4,636
"Otu0145",6,151,246,75,8,3,3
"Otu0146",13,259,149,45,17,38,4
"Otu0147",25,286,120,36,2,2,18
"Otu0148",2,209,143,40,44,15,2
"Otu0149",442,2,2,6,4,3,2
"Otu0150",423,15,2,5,2,2,7
"Otu0151",2,11,51,108,106,85,85
"Otu0152",425,4,2,3,2,43,3
"Otu0153",4,155,186,51,26,14,74
"Otu0154",311,66,24,23,8,2,33892
"Otu0155",423,4,2,14,2,4,2
"Otu0156",5,207,170,37,4,309,2
"Otu0157",4,102,167,100,47,2,6
"Otu0158",327,37,13,15,19,4,2
"Otu0159",310,58,25,16,2,9,2
"Otu0160",338,36,20,11,4,2,5
"Otu0161",4,160,157,44,28,15,2
"Otu0162",442,5,20,51,124,207,2
"Otu0163",6,10,72,118,180,22,12
"Otu0164",147,27,75,71,81,7,32
"Otu0165",5,44,94,116,143,4,2
"Otu0166",2,8,57,63,124,139,7
"Otu0167",5,234,117,38,2,4,6
"Otu0168",2,3,10,6,36,277,65
"Otu0169",2,135,148,66,20,6,12
"Otu0170",2,4,2,2,7,2,375
"Otu0171",65,40,51,182,312,4,2
"Otu0172",8,208,125,29,4,2,6
"Otu0173",2,120,158,47,13,26,4
"Otu0174",37,182,99,29,18,2,292
"Otu0175",44,217,77,23,4,2,2
"Otu0176",211,88,30,17,15,2,2
"Otu0177",2,128,134,64,20,10,2
"Otu0178",5,225,120,8,2,2,5
"Otu0179",581,20,31,101,134,57,15
"Otu0180",334,16,2,4,2,2,2
"Otu0181",4,235,105,15,2,3,292
"Otu0182",342,2,4,8,7,2,6
"Otu0183",2,946,751,225,23,792,347
"Otu0184",3,174,141,18,5,2,2
"Otu0185",65,103,160,35,20,15,74
"Otu0186",328,7,7,4,33,12,2
"Otu0187",6,185,75,16,26,20,9
"Otu0188",3,109,71,20,28,90,3
"Otu0189",314,2,2,5,2,11,6
"Otu0190",291,7,3,10,4,2,5
"Otu0191",2,160,120,36,7,4,2
"Otu0192",57,173,50,34,2,29,13
"Otu0193",83,141,138,25,6,10,2
"Otu0194",258,38,3,6,4,4,4
"Otu0195",25,2,2,2,10,2,300
"Otu0196",6,148,82,38,20,6,32
"Otu0197",2,4,20,41,102,83,47
"Otu0198",6802,541,97,115,2,17,292
"Otu0199",208,49,14,11,3,4,2
"Otu0200",2,14,4,4,2,9,287
"Otu0201",2,95,132,29,15,2,11
"Otu0202",2,54,95,49,20,61,3
"Otu0203",280,10,2,9,2,4,2
"Otu0204",273,4,2,2,2,2,5
"Otu0205",25,151,85,15,3,2,347
"Otu0206",254,6,28,7,1,32,4
"Otu0207",8,2,2,2,2,2,266
"Otu0208",2,178,75,10,2,2,4
"Otu0209",167,41,24,28,4,2,17
"Otu0210",4,11,97,78,76,2,2
"Otu0211",4,75,128,35,14,6,636
"Otu0212",258,3,2,2,16,3,2
"Otu0213",2,12,46,52,71,77,2
"Otu0214",1,139,97,14,5,25,2
"Otu0215",2,5,6,2,2,2,254
"Otu0216",11,88,98,38,21,8,66
"Otu0217",39,2,15,25,95,112,2
"Otu0218",230,13,2,4,2,1,2
"Otu0219",4,102,126,16,171,112,29
"Otu0220",55,100,48,34,3,4,47
"Otu0221",2,57,126,45,11,10,3
"Otu0222",228,2,5,6,2,4,3
"Otu0223",8,2,4,7,2,6,234
"Otu0224",2,118,65,35,13,9,2
"Otu0225",4,107,90,30,2,4,29
"Otu0226",79,20,57,41,32,62,4
"Otu0227",39,2,2,30,141,43,12
"Otu0228",1,6,22,28,75,89,7
"Otu0229",2,34,33,16,37,99,6
"Otu0230",6,2,13,32,65,114,2
"Otu0231",37,113,51,24,2,1,4
"Otu0232",2,102,84,21,11,2,15
"Otu0233",6,128,62,12,2,12,9
"Otu0234",4,37,50,55,63,10,4
"Otu0235",3,2,2,3,2,1,215
"Otu0236",65,60,106,15,30,4,2
"Otu0237",2,111,77,22,2,2,12
"Otu0238",2,2,2,37,157,209,2
"Otu0239",206,55,16,2,33,14,18
"Otu0240",124,27,28,17,11,2,2
"Otu0241",167,14,20,6,7,2,32
"Otu0242",105,10,26,25,6,136,2
"Otu0243",199,38,2,2,2,4,3
"Otu0244",2,85,69,29,11,5,4
"Otu0245",2,8,3,11,18,191,10
"Otu0246",191,7,2,2,20,2,22
"Otu0247",4,4,8,24,102,48,17
"Otu0248",22,31,28,37,101,8,6
"Otu0249",4,4,3,2,2,9,196
"Otu0250",196,12,2,7,6,23,10
"Otu0251",2,51,87,26,24,4,2
"Otu0252",169,68,74,17,24,10,66
"Otu0253",2,122,48,14,7,4,2
"Otu0254",6,2,2,2,2,2,192
"Otu0255",2,13,10,31,39,95,2
"Otu0256",3,95,74,11,7,2,15
"Otu0257",2,95,60,29,4,6,2
"Otu0258",1271,35,2,11,21,156,2
"Otu0259",46,70,47,19,6,2,6
"Otu0260",131,28,17,12,2,2,4
"Otu0261",95,88,51,4,4,180,2
"Otu0262",2,6,25,29,12,73,38
"Otu0263",4,54,85,19,17,7,2
"Otu0264",177,24,4,3,2,3,2
"Otu0265",53,67,24,9,2,11,10
"Otu0266",138,12,7,15,2,2,2
"Otu0267",4,19,45,53,53,2,2
"Otu0268",7,6,28,19,43,69,4
"Otu0269",159,8,2,2,4,2,3
"Otu0270",2,35,64,48,21,2,8
"Otu0271",169,38,73,29,20,7,2
"Otu0272",165,11,6,2,7,7,3
"Otu0273",152,8,4,2,44,10,32
"Otu0274",169,81,74,10,2,10,2
"Otu0275",2,64,54,25,4,14,4
"Otu0276",2,52,63,33,14,9,9
"Otu0277",4,20,40,48,45,2,3
"Otu0278",2,72,36,6,2,6,155
"Otu0279",6,97,36,12,3,21,3
"Otu0280",4,2,22,4,3,151,6
"Otu0281",2,22,31,48,51,2,7
"Otu0282",2,3,16,28,59,44,4
"Otu0283",2,2,4,2,4,97,52
"Otu0284",14,2,2,2,4,2,153
"Otu0285",144,4,2,2,2,2,12
"Otu0286",5,77,49,15,5,5,4
"Otu0287",58,45,29,17,2,2,5
"Otu0288",2,53,30,35,27,2,15
"Otu0289",145,2,2,2,20,24,4
"Otu0290",6,78,22,2,2,4,47
"Otu0291",2,36,68,38,2,2,4
"Otu0292",4,109,37,2,4,2,8
"Otu0293",4,92,45,4,2,3,4
"Otu0294",2,96,38,4,2,2,2
"Otu0295",140,7,2,2,2,4,3
"Otu0296",6,2,2,26,56,62,28
"Otu0297",2,75,34,26,2,3,11
"Otu0298",3,88,40,8,44,12,2
"Otu0299",115,12,8,2,7,6,6
"Otu0300",2,3,8,8,26,95,9
"Otu0301",6,28,80,22,2,2,2
"Otu0302",4,76,24,25,8,2,2
"Otu0303",7,78,51,4,18,4,29
"Otu0304",5,63,58,12,4,5,4
"Otu0305",74,32,22,2,4,7,2
"Otu0306",5,13,43,13,13,45,4
"Otu0307",2,2,3,6,8,112,35
"Otu0308",79,2,3,6,16,38,71
"Otu0309",10,4,4,2,2,126,4
"Otu0310",28,2,21,33,29,33,10
"Otu0311",23,67,56,2,2,4,26
"Otu0312",5,2,12,8,23,8,126
"Otu0313",2,4,14,48,52,6,13
"Otu0314",120,2,2,4,2,21,13
"Otu0315",2,10,67,32,14,5,4
"Otu0316",10,68,35,7,2,3,2
"Otu0317",12,67,29,13,2,4,2
"Otu0318",14,4,24,35,47,11,2
"Otu0319",89,13,8,11,2,4,2
"Otu0320",82,25,13,5,2,2,22
"Otu0321",4,5,4,11,24,77,3219
"Otu0322",104,8,2,4,22,97,2
"Otu0323",23,9,75,21,13,4,5
"Otu0324",6,67,39,4,26,2,12
"Otu0325",14,73,19,11,8,69,845
"Otu0326",1271,40,16,21,2,23,117
"Otu0327",112,2,9,2,2,2,6
"Otu0328",79,20,6,8,2,2,2
"Otu0329",105,2,6,2,2,4,10
"Otu0330",4,21,52,31,10,2,6
"Otu0331",2,23,72,18,6,250,4
"Otu0332",2,18,33,4,7,49,2
"Otu0333",2,34,51,4,30,21,2
"Otu0334",10,4,10,5,2,4,108
"Otu0335",7,46,44,10,2,6,2
"Otu0336",109,7,3,2,2,2,5
"Otu0337",109,2,2,2,3,2,6
"Otu0338",2,11,20,61,25,2,42
