"Saanich_010"	"Saanich_100"	"Saanich_120"	"Saanich_135"	"Saanich_150"	"Saanich_165"	"Saanich_200"
"Asv1"	86	0	0	0	0	0	0
"Asv2"	72	0	0	0	0	0	0
"Asv3"	0	0	0	0	0	15	0
"Asv4"	0	0	0	0	0	0	5
"Asv5"	0	20	22	0	0	0	0
"Asv6"	0	0	43	0	0	0	0
"Asv7"	0	0	0	0	0	26	0
"Asv8"	0	0	0	0	17	0	0
"Asv9"	0	0	0	13	0	0	0
"Asv10"	47	0	0	0	0	0	0
"Asv11"	0	0	31	36	0	0	0
"Asv12"	21	0	0	0	0	0	0
"Asv13"	0	0	0	0	91	0	0
"Asv14"	0	0	0	0	0	0	63
"Asv15"	0	59	42	0	0	31	0
"Asv16"	0	0	34	0	0	14	0
"Asv17"	0	0	13	0	0	0	0
"Asv18"	0	24	0	0	0	0	0
"Asv19"	40	77	58	29	0	35	0
"Asv20"	0	0	9	0	11	0	0
"Asv21"	0	0	0	0	0	0	17
"Asv22"	0	52	35	25	0	0	0
"Asv23"	46	125	56	33	0	21	0
"Asv24"	0	41	0	0	0	0	0
"Asv25"	74	0	31	29	0	0	0
"Asv26"	23	0	0	0	0	0	0
"Asv27"	85	988	1502	1659	1320	247	0
"Asv28"	0	0	4	0	0	0	0
"Asv29"	0	0	5	0	0	0	0
"Asv30"	0	89	47	41	48	68	0
"Asv31"	0	52	43	0	0	0	0
"Asv32"	0	0	0	67	0	0	0
"Asv33"	0	55	0	0	0	0	0
"Asv34"	0	0	0	46	27	157	0
"Asv35"	17	46	35	0	21	0	0
"Asv36"	0	64	30	62	0	0	0
"Asv37"	0	0	0	31	88	33	0
"Asv38"	49	88	69	35	0	0	0
"Asv39"	0	0	23	0	0	0	0
"Asv40"	0	0	0	0	0	0	14
"Asv41"	0	0	0	0	0	0	13
"Asv42"	0	0	16	0	0	0	0
"Asv43"	0	0	0	0	0	32	0
"Asv44"	0	0	0	0	0	29	0
"Asv45"	0	0	17	0	0	0	0
"Asv46"	0	0	0	0	0	0	8
"Asv47"	0	25	0	0	0	0	0
"Asv48"	216	47	96	73	56	0	0
"Asv49"	0	0	0	0	0	0	33
"Asv50"	0	28	38	44	0	0	0
"Asv51"	0	0	0	0	0	43	0
"Asv52"	0	20	57	0	23	0	0
"Asv53"	0	0	4	0	0	0	0
"Asv54"	0	21	34	0	0	0	0
"Asv55"	336	0	0	57	0	0	0
"Asv56"	0	0	0	0	0	0	8
"Asv57"	0	23	0	0	0	0	0
"Asv58"	0	24	0	0	0	0	0
"Asv59"	0	269	116	46	39	0	0
"Asv60"	0	0	0	0	0	27	0
"Asv61"	23	0	0	0	0	0	0
"Asv62"	0	0	0	0	0	0	40
"Asv63"	0	0	0	0	0	0	25
"Asv64"	0	16	0	0	0	0	0
"Asv65"	13	6	0	0	0	0	0
"Asv66"	139	29	0	0	19	0	0
"Asv67"	0	20	0	0	0	0	0
"Asv68"	0	0	35	0	0	0	0
"Asv69"	0	26	0	0	28	34	0
"Asv70"	0	0	0	0	0	0	13
"Asv71"	0	0	69	0	0	0	0
"Asv72"	0	0	0	12	0	0	0
"Asv73"	0	0	15	0	0	0	0
"Asv74"	0	0	0	0	0	0	59
"Asv75"	34	0	0	0	0	0	0
"Asv76"	0	0	0	0	0	62	0
"Asv77"	0	0	0	0	0	44	0
"Asv78"	0	0	0	0	0	0	7
"Asv79"	0	44	0	0	0	0	0
"Asv80"	0	0	19	0	0	0	0
"Asv81"	0	0	0	0	0	0	4
"Asv82"	0	0	0	34	0	0	0
"Asv83"	104	0	0	0	17	0	0
"Asv84"	0	49	0	0	0	0	0
"Asv85"	146	108	63	67	50	0	0
"Asv86"	32	15	0	0	0	0	0
"Asv87"	382	48	32	0	0	10	0
"Asv88"	66	128	110	63	43	145	0
"Asv89"	0	0	0	0	0	0	61
"Asv90"	0	0	0	12	0	0	0
"Asv91"	0	0	10	0	0	0	0
"Asv92"	0	0	0	0	17	0	0
"Asv93"	0	0	0	0	0	0	22
"Asv94"	45	43	44	0	0	43	0
"Asv95"	0	0	0	0	0	19	0
"Asv96"	0	0	0	5	0	0	0
"Asv97"	0	34	0	0	0	0	0
"Asv98"	138	1468	1291	631	292	125	0
"Asv99"	0	0	29	0	0	0	0
"Asv100"	0	0	83	0	0	0	0
"Asv101"	0	0	0	18	23	34	0
"Asv102"	0	0	39	0	0	0	0
"Asv103"	0	0	0	0	29	0	0
"Asv104"	0	0	0	5	0	0	0
"Asv105"	0	0	0	38	0	0	0
"Asv106"	0	55	53	0	14	0	0
"Asv107"	0	0	0	0	0	9	0
"Asv108"	0	0	13	0	0	0	0
"Asv109"	19	277	174	50	40	43	0
"Asv110"	0	0	0	0	0	14	0
"Asv111"	0	54	74	32	44	53	0
"Asv112"	0	6	0	0	0	0	0
"Asv113"	0	12	9	0	5	0	0
"Asv114"	0	0	39	46	0	49	0
"Asv115"	0	0	0	0	0	0	13
"Asv116"	0	34	43	18	10	0	0
"Asv117"	0	0	0	0	0	0	28
"Asv118"	0	0	0	0	0	0	70
"Asv119"	0	0	0	0	0	0	240
"Asv120"	0	48	20	0	0	57	0
"Asv121"	0	0	0	0	0	0	25
"Asv122"	0	0	0	0	0	0	48
"Asv123"	383	29	0	0	0	23	0
"Asv124"	0	39	0	0	0	0	0
"Asv125"	0	0	25	37	27	0	0
"Asv126"	0	0	23	0	0	0	0
"Asv127"	0	0	0	0	0	0	47
"Asv128"	0	0	0	0	11	0	0
