"Cruise","Date","Depth","O2_uM","NO3_uM","H2S_uM","Depth_m"
18,"2008-02-13",0.01,225.237,18.871,0,10
18,"2008-02-13",0.02,220.985,23.974,0,20
18,"2008-02-13",0.04,201.769,29.204,0,40
18,"2008-02-13",0.06,197.947,23.981,0,60
18,"2008-02-13",0.075,193.762,23.831,0,75
18,"2008-02-13",0.085,150.404,22.961,0,85
18,"2008-02-13",0.09,122.448,21.851,0,90
18,"2008-02-13",0.097,108.289,20.322,0,97
18,"2008-02-13",0.1,99.786,19.408,0,100
18,"2008-02-13",0.11,39.637,19.353,0,110
18,"2008-02-13",0.12,9.637,14.671,0,120
18,"2008-02-13",0.135,4.903,13.554,0,135
18,"2008-02-13",0.15,4.381,9.827,0,150
18,"2008-02-13",0.165,4.019,9.759,0,165
18,"2008-02-13",0.185,3.789,11.465,0,185
18,"2008-02-13",0.2,3.631,11.875,0,200
19,"2008-03-19",0.01,229.936,27.557,0,10
19,"2008-03-19",0.02,210.676,28.372,0,20
19,"2008-03-19",0.04,192.929,22.181,0,40
19,"2008-03-19",0.06,202.167,21.737,0,60
19,"2008-03-19",0.075,195.872,28.735,0,75
19,"2008-03-19",0.085,159.509,28.408,0,85
19,"2008-03-19",0.09,145.056,23.103,0,90
19,"2008-03-19",0.097,102.521,21.826,0,97
19,"2008-03-19",0.1,86.467,25.822,0,100
19,"2008-03-19",0.11,39.079,24.038,0,110
19,"2008-03-19",0.12,12.503,19.346,0,120
19,"2008-03-19",0.135,4.353,14.905,0,135
19,"2008-03-19",0.15,3.863,8.729,0,150
19,"2008-03-19",0.165,3.612,6.253,0,165
19,"2008-03-19",0.185,3.414,8.032,0,185
19,"2008-03-19",0.2,3.347,7.508,0,200
20,"2008-04-09",0.01,263.06,19.2,0,10
20,"2008-04-09",0.02,243.001,17.383,0,20
20,"2008-04-09",0.04,223.152,17.369,0,40
20,"2008-04-09",0.06,194.258,17.579,0,60
20,"2008-04-09",0.075,178.606,18.406,0,75
20,"2008-04-09",0.085,177.887,24.462,0,85
20,"2008-04-09",0.09,155.521,26.099,0,90
20,"2008-04-09",0.097,130.801,25.353,0,97
20,"2008-04-09",0.1,120.904,20.537,0,100
20,"2008-04-09",0.11,48.353,11.934,0,110
20,"2008-04-09",0.12,18.13,13.23,0,120
20,"2008-04-09",0.135,4.819,11.924,0,135
20,"2008-04-09",0.15,4.289,8.806,0,150
20,"2008-04-09",0.165,4.003,6.035,0,165
